,sentence1,sentence2,labels,similarity
,sentence1,sentence2,labels,similarity
0.0, open music,lunch music app,play music,0.7
1.0,can you play music for me,play song or music. Whatever you say,play music,0.8
2.0,play videos ,play music,play music,0.01
3.0,can you play anything? my friends are getting bored here,play some music I feel bored here.,play music,0.7
4.0,choose a song from library and play it,play any song from my library,play music,0.8
5.0,"i am bored,can you play a song for me",play some music I feel bored here.,play music,0.9
6.0,what is the weather today?,tell me about the weather?,weather,0.9
7.0,how wil be the day ?,what the day will be?,weather,0.8
8.0,give me a waether report,How the waether gonna be?,weather,0.8
9.0,Is today gonna be a rainy day?,is it going to rain today?,weather,0.9
10.0,can I go outside today or is there will be rain? ,Is it safe to move outside or the waeher gonna be heasty today.,weather,0.8
11.0,hey open a browser for me,Lunch the browser,Browser,0.9
12.0,I want to google something,I wanna search something on google,Browser,0.8
13.0,I want to search something on web,I wanna know about something from web,Browser,0.9
14.0,I want you to open a browser for me,hey open a browser app will you?,Browser,0.9
15.0,introduce yourself?,"By my command, give your introduction to everyone present here",Introduction,0.7
16.0,Who are you?,Tell me about yourself?,Introduction,0.8
17.0,Give me your introduction.,give your description.,Introduction,0.9
18.0,Hey dude you need to tell who you really are?,what was your name again?,Introduction,0.7
19.0,Hey dude its time for you to give your proper introduction to my friends.,"My friend over here wanna know about you, so can you tell him about yourself?",Introduction,0.7
20.0,"Properly introduce yourself to everyone present here.,5,","By my command, give your introduction to everyone present here",Introduction,0.8
21.0,"you have not told me, who are you yet.",give me your introduction?,Introduction,0.7
22.0,open settings ,lunch linnux settings app,Settings,0.9
23.0,hey open windows settings for me,hey open settings for me,Settings,0.9
24.0,i want to change settings so open it,I have to change some settings on system level,Settings,0.8
25.0,open computer  settings,open settings app,Settings,0.98
26.0,i have to change some settings,I have to change some settings on system level,Settings,0.9
27.0,open skype,hey i want you to lunch skype,Skype,0.88
28.0,I have a meeting on skype that I have to join,There is a metting that I need to attend to so could you please take me to the skype.,Skype,0.79
29.0,can you lunch skype for me,hey i want you to lunch skype app,Skype,0.92
30.0,open google meet,Lunch google meet,Google Meet,0.98
31.0,meeting time open google meet,video call time open skype,Google Meet,0.001
32.0,"I need to join my classes on google meet right now,",There are classes that I need to attend to so could you please take me to the skype.,Google Meet,0.75
33.0,Hey start the google meet application,start the skype app,Google Meet,0.0001
34.0,Hey start the google meet application,Lunch google meet,Google Meet,0.78
35.0,open notepad,hey lunch the notepad application,Google Meet,0.85
36.0,i have to take notes,i want to write something,Text Editor,0.75
37.0,Lunch a writing a application where I can write something,I want you to opne a simple text editor where I can write something,Text Editor,0.85
38.0,Can you lunch any text editor application in my system,hey lunch a text editor,Text Editor,0.8
39.0,Hey open a text editor,hey bring me a text editor,Text Editor,0.95
40.0,lunch code ,lunch vscode,VsCode,0.8
41.0,lunch the code application,open a application where I can code,VsCode,0.76
42.0,I want to do some programming so open any editor for me,I need a editor for programming,VsCode,0.74
43.0,open a code editor for me,I need a editor for coding,VsCode,0.82
44.0,lunch an IDE for me,"Open a IDE, will you?",VsCode,0.92
45.0,delete my account,remove my account please,Delete Account,0.95
46.0,I want to delete my user account,I  want you to delete my account,Delete Account,0.99
47.0,I don't plan to use this software anymore so just remove my account,I am quiting from using this application so delete my account ,Delete Account,0.85
48.0,hey remove my account from your system,Hey if you have my account in your system delete it please.,Delete Account,0.89
49.0,can you pop my account?,I want you to remve my account,Delete Account,0.8
50.0,tell me a jock,find a jock for me,Joke,0.95
51.0,I wanna listen to a Joke,hey buddy tell me a Joke,Joke,0.83
52.0,I am getting bored here can you tell me a good Joke,Hey buddy tell me a Joke or something I am getting bored here,Joke,0.95
53.0,self destruct,Perform self destruct,Self Distruct,0.99
54.0,Hey you have to destroy yourself.,I do not need you any more  so destroy yourself,Self Distruct,0.85
55.0,dude it's the time has come for you to say goodbye,"Dude I am giving you farewell, the time has arrived.",Self Distruct,0.8
56.0,Perform a self destruction,execute self destruct sequence,Self Distruct,0.96
57.0,By my command you destroy yourself,I am telling you to self destruct,Self Distruct,0.95
58.0,exit,you can exit out,Exit,0.82
59.0,leave now,you can take your leave dude.,Exit,0.79
60.0,now you can exit,exit,Exit,0.79
61.0,I don't need you for the time being so exit now,Leave the system for the time being,Exit,0.89
